subject_base,subject,sperson,subject_translation,tense_translation,tense_base,tense,object,operson,object_translation,object_base,verb_translation,verb_type,control,verb,verb_base,person,text,text_breakdown,text_label
-,3plint,3,they,future,SE¸,fut,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ SE¸,YÁ¸__ _SE¸,verb_object_subject_tense
-,3plint,3,they,future,SE¸,fut,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET SE¸,ITET__ _SE¸,verb_object_subject_tense
-,3plint,3,they,future,SE¸,fut,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET SE¸,EMET__ _SE¸,verb_object_subject_tense
-,3plint,3,they,future,SE¸,fut,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET SE¸,ȻONEṈET__ _SE¸,verb_object_subject_tense
-,3plint,3,they,future,SE¸,fut,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ SE¸,ĆȺ__ _SE¸,verb_object_subject_tense
-,3plint,3,they,future,SE¸,fut,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL SE¸,ĆÁNEL__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ SE¸,YÁ¸__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET SE¸,ITET__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,sit up or down,intransitive,,EMET,EMET,,EMET SE¸,EMET__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,run,intransitive,,ȻONEṈET,ȻONEṈET,,ȻONEṈET SE¸,ȻONEṈET__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,work,intransitive,,ĆȺ,ĆȺ,,ĆȺ SE¸,ĆȺ__ _SE¸,verb_object_subject_tense
-,3sgint,3,s/he/it,future,SE¸,fut,none,none,no object,,move,intransitive,,ĆÁNEL,ĆÁNEL,,ĆÁNEL SE¸,ĆÁNEL__ _SE¸,verb_object_subject_tense
-ES,3pltran,3,they,past,LE¸,past,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES LE¸,SEJN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES LE¸,QENN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES LE¸,ȻENÁṈN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES LE¸,SEJN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES LE¸,QENN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES LE¸,ȻENÁṈN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3plNC,3,Them,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES LE¸,SEJN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3plNC,3,Them,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES LE¸,QENN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3plNC,3,Them,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES LE¸,ȻENÁṈN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to hit it,transitive,noncontr,SEJNOW̱,SEJNOW̱,,SEJNES LE¸,SEJN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to see it,transitive,noncontr,QENNEW̱,QENNEW̱,,QENNES LE¸,QENN__ES LE¸,verb_objectverb_subject
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sgNC,3,Her/Him/It,,manage to help it,transitive,noncontr,ȻENÁṈNEW̱,ȻENÁṈNEW̱,,ȻENÁṈNES LE¸,ȻENÁṈN__ES LE¸,verb_objectverb_subject
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES LE¸,W̱EĆET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES LE¸,ŚÁMET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES LE¸,QENET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES LE¸,ȽIȾET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES LE¸,KIQET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES LE¸,ȻENÁṈET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES LE¸,W̱EĆET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES LE¸,ŚÁMET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES LE¸,QENET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES LE¸,ȽIȾET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES LE¸,KIQET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES LE¸,ȻENÁṈET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES LE¸,W̱EĆET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES LE¸,ŚÁMET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,look at it,transitive,contr,QENET,QENET,,QENETES LE¸,QENET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES LE¸,ȽIȾET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,bite it,transitive,contr,KIQET,KIQET,,KIQETES LE¸,KIQET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3pl,3,them,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES LE¸,ȻENÁṈET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETES LE¸,W̱EĆET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETES LE¸,ŚÁMET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,look at it,transitive,contr,QENET,QENET,,QENETES LE¸,QENET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETES LE¸,ȽIȾET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,bite it,transitive,contr,KIQET,KIQET,,KIQETES LE¸,KIQET_ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,3sg,3,Her/Him/It,,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETES LE¸,ȻENÁṈET_ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES LE¸,W̱EĆET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES LE¸,ŚÁMET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES LE¸,QENET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES LE¸,ȽIȾET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES LE¸,KIQET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES LE¸,ȻENÁṈET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES LE¸,W̱EĆE_SES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES LE¸,ŚÁME_SES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES LE¸,QENE_SES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES LE¸,ȽIȾE_SES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES LE¸,KIQE_SES _LE¸,verb_object_tense
-ES,3pltran,3,they,past,LE¸,past,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES LE¸,ȻENÁṈE_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆETOL¸W̱ES LE¸,W̱EĆET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMETOL¸W̱ES LE¸,ŚÁMET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,look at it,transitive,contr,QENET,QENET,,QENETOL¸W̱ES LE¸,QENET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾETOL¸W̱ES LE¸,ȽIȾET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,bite it,transitive,contr,KIQET,KIQET,,KIQETOL¸W̱ES LE¸,KIQET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1pl,1,us,OL¸W̱,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈETOL¸W̱ES LE¸,ȻENÁṈET_OL¸W̱ES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,wake it,transitive,contr,W̱EĆET,W̱EĆET,,W̱EĆESES LE¸,W̱EĆE_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,dry it,transitive,contr,ŚÁMET,ŚÁMET,,ŚÁMESES LE¸,ŚÁME_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,look at it,transitive,contr,QENET,QENET,,QENESES LE¸,QENE_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,cut it,transitive,contr,ȽIȾET,ȽIȾET,,ȽIȾESES LE¸,ȽIȾE_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,bite it,transitive,contr,KIQET,KIQET,,KIQESES LE¸,KIQE_SES _LE¸,verb_object_tense
-ES,3sgtran,3,s/he/it,past,LE¸,past,1sg,1,Me,S,help it,transitive,contr,ȻENÁṈET,ȻENÁṈET,,ȻENÁṈESES LE¸,ȻENÁṈE_SES _LE¸,verb_object_tense
-,3plint,3,they,past,LE¸,past,none,none,no object,,go,intransitive,,YÁ¸,YÁ¸,,YÁ¸ LE¸,YÁ¸__ _LE¸,verb_object_subject_tense
-,3plint,3,they,past,LE¸,past,none,none,no object,,sleep,intransitive,,ITET,ITET,,ITET LE¸,ITET__ _LE¸,verb_object_subject_tense
